filename	mention_id	label	start_span	end_span	span	code	semantic_rel	annotation	sentence	Prediction	Prediction_score	Prediction_beam_score	Predicted_code
S0004-06142006000100010-1	S0004-06142006000100010-1.1	ENFERMEDAD	38	43	obesa	414915002	EXACT	obeso	Paciente femenina de 62 años de edad, [obesa]{ENFERMEDAD}, diabetes e hipertensa de un año de evolución.	obesa	0.9385798573493958	0.9571748375892639	
S0004-06142006000100010-1	S0004-06142006000100010-1.2	ENFERMEDAD	45	53	diabetes	73211009	EXACT	diabetes mellitus	Paciente femenina de 62 años de edad, obesa, [diabetes]{ENFERMEDAD} e hipertensa de un año de evolución.	diabetes	0.925969123840332	0.8410218358039856	
S0004-06142006000100010-1	S0004-06142006000100010-1.3	ENFERMEDAD	56	66	hipertensa	38341003	EXACT	hipertensión arterial	Paciente femenina de 62 años de edad, obesa, diabetes e [hipertensa]{ENFERMEDAD} de un año de evolución.	hipertensa	0.8975954055786133	0.9120827913284302	
S0004-06142006000100010-1	S0004-06142006000100010-1.4	ENFERMEDAD	495	507	masa tumoral	55342001	EXACT	enfermedad neoplásica	En la TAC helicoidal, [masa tumoral]{ENFERMEDAD} con un diámetro mayor de 8,7x76 cms de contornos irregulares densidad heterogénea de 100 - 37 UH, tabicada, compatible con tumor suprarrenal de densidad grasa.	masa tumoral	0.11245410889387131	0.626871645450592	
S0004-06142006000100010-1	S0004-06142006000100010-1.5	ENFERMEDAD	631	648	tumor suprarrenal	127021009	EXACT	neoplasia de la glándula suprarrenal	En la TAC helicoidal, masa tumoral con un diámetro mayor de 8,7x76 cms de contornos irregulares densidad heterogénea de 100 - 37 UH, tabicada, compatible con [tumor suprarrenal]{ENFERMEDAD} de densidad grasa.	neoplasia de glándula suprarrenal	6.3822408264968544e-6	0.8003442287445068	
S0004-06142006000100010-1	S0004-06142006000100010-1.6	ENFERMEDAD	841	884	tumor localizado en la glándula suprarrenal	127021009	EXACT	neoplasia de la glándula suprarrenal	Los hallazgos transoperatorios fueron un [tumor localizado en la glándula suprarrenal]{ENFERMEDAD} derecha, bien delimitado de bordes irregulares con lobulaciones.	tumor circunscripto a la glándula suprarrenal	0.000014542537428496871	0.8035762906074524	
S0004-06142006000100010-1	S0004-06142006000100010-1.7	ENFERMEDAD	1322	1356	mielolipoma de la glándula adrenal	719049003	EXACT	mielolipoma de glándula suprarrenal	El examen histopatológico: [mielolipoma de la glándula adrenal]{ENFERMEDAD} con extensas áreas de calcificaciones.	mielolipoma de la glándula adrenal	0.8607355952262878	0.8709756731987	
S0004-06142006000100010-1	S0004-06142006000100010-1.8	PROCEDIMIENTO	174	192	exploración física	5880005	EXACT	exploración física	La [exploración física]{PROCEDIMIENTO} fue normal.	examen físico	0.6670047044754028	0.6950752139091492	5880005
S0004-06142006000100010-1	S0004-06142006000100010-1.9	PROCEDIMIENTO	216	237	ultrasonido abdominal	45036003	EXACT	ecografía de abdomen	Se realizó [ultrasonido abdominal]{PROCEDIMIENTO} que demostró masa suprarrenal derecha hipoecogénica de 80 mms que comprime el polo superior de riñón derecho.	ecografía de abdomen	0.8091521263122559	0.835453450679779	45036003
S0004-06142006000100010-1	S0004-06142006000100010-1.10	PROCEDIMIENTO	348	368	Urograma descendente	32265006	EXACT	urografía intravenosa	[Urograma descendente]{PROCEDIMIENTO}, proceso expansivo en la suprarrenal derecha, el polo superior de riñón derecho desplazado hacia abajo.	urograma descendente	0.34986764192581177	0.6763904094696045	
